ANSS-cofiber-2-machine,algNovikov-machine
"[0-0]	","	[0-0]"
"[1-0]	","	[1-0]"
"[1-1]	","	[1-1]"
"[1-2]	","	[1-2]"
"[10-0]	","	[10-0]"
"[10-1]	","	[10-1]"
"[10-10]	","	[10-10]"
"[10-11]	","	[10-11]+v1^2v3^2[10-1]"
"[10-12]	","	[10-12]"
"[10-13]	","	[10-13]+v1^2v2^1v3^1[10-7]+v1^24v2^3v3^1[10-0]"
"[10-14]	","	[10-14]"
"[10-15]	","	[10-15]+v1^22v2^5v3^1[10-0]+v1^26v2^1v4^1[10-0]"
"[10-16]	","	[10-16]"
"[10-17]	","	[10-17]+v2^4v3^1[10-10]+v1^6v2^1v3^1v4^1[10-2]"
"[10-2]	","	[10-2]+v1^16v2^1[10-0]"
"[10-3]	","	[10-3]+v1^22[10-0]"
"[10-4]	","	[10-4]"
"[10-5]	","	[10-5]+v1^24[10-0]"
"[10-6]	","	[10-6]"
"[10-7]	","	[10-7]+v1^28[10-0]"
"[10-8]	","	[10-8]"
"[10-9]	","	[10-9]"
"[11-0]	","	[11-0]"
"[11-1]	","	[11-1]"
"[11-10]	","	[11-10]+v1^22v2^4v3^1[11-0]"
"[11-11]	","	[11-11]+v2^3v4^1[11-1]+v1^2v2^5v3^1[11-1]"
"[11-12]	","	[11-12]+v1^2v2^1v3^1v4^1[11-1]"
"[11-13]	","	[11-13]+v1^18v2^8v3^1[11-0]+v1^20v2^5v3^2[11-0]"
"[11-2]	","	[11-2]+v1^20v2^1[11-0]"
"[11-3]	","	[11-3]+v1^24[11-0]"
"[11-4]	","	[11-4]"
"[11-5]	","	[11-5]"
"[11-6]	","	[11-6]"
"[11-7]	","	[11-7]"
"[11-8]	","	[11-8]+v1^6[11-6]+v1^24v2^2v3^1[11-0]"
"[11-9]	","	[11-9]"
"[12-0]	","	[12-0]"
"[12-1]	","	[12-1]"
"[12-10]	","	[12-10]"
"[12-11]	","	[12-11]"
"[12-12]	","	[12-12]+v1^1v2^3[12-5]"
"[12-13]	","	[12-13]+v1^3v2^3[12-5]"
"[12-14]	","	[12-14]+v1^6v2^3[12-5]+v0^1v1^6v2^3[12-5]"
"[12-2]	","	[12-2]"
"[12-3]	","	[12-3]"
"[12-4]	","	[12-4]"
"[12-6]	","	[12-6]+v1^24v2^1v3^1[12-0]"
"[12-7]	","	[12-7]"
"[12-8]	","	[12-8]+v2^3v3^4[12-0]"
"[12-9]	","	[12-9]"
"[13-0]	","	[13-0]"
"[13-1]	","	[13-1]"
"[13-10]	","	[13-10]+v1^20v2^4v3^1[13-0]"
"[13-11]	","	[13-11]"
"[13-12]	","	[13-12]"
"[13-13]	","	[13-13]+v1^2v2^1v3^1[13-4]+v1^18v2^6v3^1[13-0]+v1^22v2^2v4^1[13-0]"
"[13-14]	","	[13-14]+v1^2v4^1[13-3]+v1^22v2^1v3^1v4^1[13-0]"
"[13-15]	","	[13-15]+v1^16v2^8v3^1[13-0]"
"[13-3]	","	[13-3]"
"[13-4]	","	[13-4]"
"[13-5]	","	[13-5]+v1^24v3^1[13-0]"
"[13-6]	","	[13-6]"
"[13-7]	","	[13-7]"
"[13-8]	","	[13-8]"
"[13-9]	","	[13-9]+v2^3v3^4[13-0]"
"[14-0]	","	[14-0]"
"[14-1]	","	[14-1]"
"[14-10]	","	[14-10]+v1^4v4^1[14-2]"
"[14-11]	","	[14-11]"
"[14-2]	","	[14-2]"
"[14-3]	","	[14-3]"
"[14-4]	","	[14-4]"
"[14-5]	","	[14-5]+v1^22v2^1v3^1[14-0]"
"[14-6]	","	[14-6]"
"[14-7]	","	[14-7]+v1^20v2^3v3^1[14-0]"
"[14-8]	","	[14-8]"
"[14-9]	","	[14-9]"
"[15-0]	","	[15-0]"
"[15-1]	","	[15-1]"
"[15-2]	","	[15-2]"
"[15-3]	","	[15-3]"
"[15-4]	","	[15-4]"
"[15-5]	","	[15-5]"
"[15-6]	","	[15-6]+v1^4v3^1[15-2]"
"[15-7]	","	[15-7]+v1^1v2^2v3^1[15-2]+v1^14v2^8v3^1[15-0]"
"[15-8]	","	[15-8]+v1^4v2^1[15-5]"
"[16-0]	","	[16-0]"
"[16-1]	","	[16-1]"
"[16-2]	","	[16-2]"
"[16-3]	","	[16-3]+v1^16v2^5v3^1[16-0]"
"[16-4]	","	[16-4]"
"[16-6]	","	[16-6]+v1^18v2^3v4^1[16-0]+v1^20v3^1v4^1[16-0]"
"[16-7]	","	[16-7]"
"[16-8]	","	[16-8]+v1^6[16-4]"
"[17-0]	","	[17-0]"
"[17-1]	","	[17-1]"
"[17-3]	","	[17-3]"
"[17-4]	","	[17-4]+v1^14v2^6v3^1[17-0]"
"[17-5]	","	[17-5]+v1^14v2^6v3^1[17-0]"
"[17-6]	","	[17-6]"
"[17-7]	","	[17-7]"
"[17-8]	","	[17-8]"
"[18-0]	","	[18-0]"
"[18-1]	","	[18-1]"
"[18-2]	","	[18-2]"
"[18-3]	","	[18-3]"
"[18-4]	","	[18-4]"
"[18-5]	","	[18-5]"
"[18-6]	","	[18-6]"
"[19-0]	","	[19-0]"
"[19-1]	","	[19-1]"
"[19-2]	","	[19-2]"
"[19-3]	","	[19-3]"
"[19-4]	","	[19-4]+v1^10v2^8v3^1[19-0]+v1^14v2^4v4^1[19-0]"
"[2-0]	","	[2-0]"
"[2-1]	","	[2-1]"
"[2-10]	","	[2-10]"
"[2-11]	","	[2-11]"
"[2-2]	","	[2-2]"
"[2-3]	","	[2-3]"
"[2-4]	","	[2-4]"
"[2-5]	","	[2-5]"
"[2-6]	","	[2-6]"
"[2-7]	","	[2-7]"
"[2-8]	","	[2-8]"
"[20-0]	","	[20-0]"
"[20-1]	","	[20-1]"
"[20-2]	","	[20-2]"
"[21-0]	","	[21-0]"
"[22-0]	","	[22-0]"
"[23-0]	","	[23-0]"
"[24-0]	","	[24-0]"
"[25-0]	","	[25-0]"
"[26-0]	","	[26-0]"
"[27-0]	","	[27-0]"
"[28-0]	","	[28-0]"
"[29-0]	","	[29-0]"
"[3-0]	","	[3-0]"
"[3-1]	","	[3-1]"
"[3-10]	","	[3-10]+v1^6[3-6]+v1^18v2^1[3-0]"
"[3-11]	","	[3-11]"
"[3-12]	","	[3-12]"
"[3-13]	","	[3-13]"
"[3-14]	","	[3-14]+v0^1v1^2v2^2v3^1v4^1[3-1]+v0^2v1^2v2^2v3^1v4^1[3-1]+v1^30v2^1[3-0]"
"[3-15]	","	[3-15]"
"[3-16]	","	[3-16]"
"[3-17]	","	[3-17]"
"[3-18]	","	[3-18]+v0^1v2^5v3^3[3-1]"
"[3-2]	","	[3-2]"
"[3-3]	","	[3-3]"
"[3-4]	","	[3-4]"
"[3-5]	","	[3-5]"
"[3-6]	","	[3-6]"
"[3-7]	","	[3-7]"
"[3-8]	","	[3-8]"
"[30-0]	","	[30-0]"
"[31-0]	","	[31-0]"
"[32-0]	","	[32-0]"
"[33-0]	","	[33-0]"
"[34-0]	","	[34-0]"
"[35-0]	","	[35-0]"
"[36-0]	","	[36-0]"
"[37-0]	","	[37-0]"
"[4-0]	","	[4-0]"
"[4-1]	","	[4-1]"
"[4-10]	","	[4-10]+v1^20v2^1[4-0]"
"[4-11]	","	[4-11]"
"[4-12]	","	[4-12]"
"[4-15]	","	[4-15]"
"[4-17]	","	[4-17]"
"[4-18]	","	[4-18]"
"[4-19]	","	[4-19]+v1^2v2^8[4-3]"
"[4-2]	","	[4-2]"
"[4-20]	","	[4-20]"
"[4-21]	","	[4-21]+v1^2v2^2[4-14]"
"[4-22]	","	[4-22]+v1^1v2^3v3^2[4-8]+v2^8[4-8]+v1^13[4-12]+v0^1v1^13[4-12]"
"[4-23]	","	[4-23]"
"[4-3]	","	[4-3]+v1^14[4-0]"
"[4-4]	","	[4-4]+v1^12v2^1[4-0]"
"[4-6]	","	[4-6]"
"[4-7]	","	[4-7]+v1^18[4-0]"
"[4-8]	","	[4-8]+v0^1v1^5[4-4]+v1^20[4-0]"
"[5-0]	","	[5-0]"
"[5-1]	","	[5-1]"
"[5-10]	","	[5-10]+v1^20v2^1[5-0]"
"[5-11]	","	[5-11]"
"[5-12]	","	[5-12]"
"[5-14]	","	[5-14]"
"[5-18]	","	[5-18]"
"[5-20]	","	[5-20]"
"[5-21]	","	[5-21]"
"[5-22]	","	[5-22]"
"[5-23]	","	[5-23]"
"[5-24]	","	[5-24]+v0^1v2^12[5-1]+v2^15[5-0]"
"[5-25]	","	[5-25]+v2^15[5-0]"
"[5-26]	","	[5-26]+v2^11[5-3]"
"[5-28]	","	[5-28]+v2^9v3^1[5-4]"
"[5-3]	","	[5-3]"
"[5-4]	","	[5-4]+v1^12v2^1[5-0]"
"[5-5]	","	[5-5]"
"[5-6]	","	[5-6]"
"[5-7]	","	[5-7]"
"[5-8]	","	[5-8]+v1^2v2^1[5-5]+v1^20[5-0]"
"[5-9]	","	[5-9]+v2^7[5-0]"
"[6-0]	","	[6-0]"
"[6-1]	","	[6-1]"
"[6-10]	","	[6-10]+v1^30[6-0]"
"[6-11]	","	[6-11]"
"[6-12]	","	[6-12]+v1^6v4^1[6-2]+v1^32[6-0]"
"[6-15]	","	[6-15]"
"[6-17]	","	[6-17]+v1^2v2^4v3^2[6-1]+v2^8v3^2[6-0]"
"[6-18]	","	[6-18]+v1^30v2^1v3^1[6-0]"
"[6-19]	","	[6-19]"
"[6-2]	","	[6-2]"
"[6-21]	","	[6-21]+v2^2v3^1v4^1[6-5]+v1^10v2^1[6-11]+v1^28v2^3v3^1[6-0]"
"[6-22]	","	[6-22]"
"[6-23]	","	[6-23]"
"[6-24]	","	[6-24]+v1^2v2^9v3^1[6-2]"
"[6-25]	","	[6-25]+v1^28v2^2v3^2[6-0]"
"[6-26]	","	[6-26]"
"[6-27]	","	[6-27]+v0^2v1^2v2^1v3^2[6-11]"
"[6-28]	","	[6-28]+v1^4v2^3v3^1[6-11]"
"[6-29]	","	[6-29]"
"[6-3]	","	[6-3]+v1^14[6-0]"
"[6-4]	","	[6-4]"
"[6-5]	","	[6-5]+v1^16[6-0]"
"[6-6]	","	[6-6]"
"[6-7]	","	[6-7]+v1^20[6-0]"
"[6-8]	","	[6-8]+v1^2v2^1v3^1[6-2]+v1^20v2^1[6-0]"
"[6-9]	","	[6-9]"
"[7-0]	","	[7-0]"
"[7-1]	","	[7-1]"
"[7-10]	","	[7-10]"
"[7-11]	","	[7-11]"
"[7-12]	","	[7-12]"
"[7-13]	","	[7-13]+v1^30v3^1[7-0]"
"[7-14]	","	[7-14]"
"[7-15]	","	[7-15]+v1^1v3^3[7-3]+v2^8v3^2[7-0]"
"[7-16]	","	[7-16]+v1^1v2^5[7-5]+v1^8[7-9]"
"[7-17]	","	[7-17]+v0^1v2^2v3^5[7-0]"
"[7-18]	","	[7-18]"
"[7-19]	","	[7-19]+v0^2v4^3[7-0]+v1^26v2^4v3^1[7-0]+v1^28v2^1v3^2[7-0]"
"[7-2]	","	[7-2]"
"[7-20]	","	[7-20]"
"[7-21]	","	[7-21]"
"[7-22]	","	[7-22]+v1^4v2^2v3^1[7-9]"
"[7-23]	","	[7-23]"
"[7-24]	","	[7-24]+v1^13v3^1[7-9]"
"[7-25]	","	[7-25]+v1^1v2^3v3^2[7-7]+v1^4v2^1v3^5[7-1]"
"[7-3]	","	[7-3]"
"[7-4]	","	[7-4]"
"[7-5]	","	[7-5]+v1^2v2^1v3^1[7-1]+v1^20v2^1[7-0]"
"[7-6]	","	[7-6]"
"[7-7]	","	[7-7]"
"[7-8]	","	[7-8]+v1^30[7-0]"
"[7-9]	","	[7-9]+v1^28v2^1[7-0]"
"[8-0]	","	[8-0]"
"[8-1]	","	[8-1]"
"[8-10]	","	[8-10]+v1^28v2^1[8-0]"
"[8-11]	","	[8-11]+v1^28v2^1[8-0]"
"[8-12]	","	[8-12]"
"[8-13]	","	[8-13]"
"[8-14]	","	[8-14]"
"[8-15]	","	[8-15]"
"[8-16]	","	[8-16]"
"[8-17]	","	[8-17]+v1^28v2^1v3^1[8-0]"
"[8-18]	","	[8-18]+v0^1v1^9[8-11]"
"[8-19]	","	[8-19]+v0^1v2^6v3^1[8-2]"
"[8-2]	","	[8-2]"
"[8-21]	","	[8-21]"
"[8-22]	","	[8-22]+v1^2v3^2[8-10]"
"[8-23]	","	[8-23]+v1^2v2^8[8-3]"
"[8-24]	","	[8-24]"
"[8-3]	","	[8-3]+v1^22[8-0]"
"[8-4]	","	[8-4]+v1^20v2^1[8-0]"
"[8-6]	","	[8-6]"
"[8-7]	","	[8-7]+v1^5[8-4]"
"[8-8]	","	[8-8]"
"[8-9]	","	[8-9]"
"[9-0]	","	[9-0]"
"[9-1]	","	[9-1]"
"[9-10]	","	[9-10]"
"[9-11]	","	[9-11]"
"[9-12]	","	[9-12]+v1^28v2^1[9-0]"
"[9-13]	","	[9-13]"
"[9-14]	","	[9-14]"
"[9-15]	","	[9-15]+v1^28v3^1[9-0]"
"[9-16]	","	[9-16]"
"[9-17]	","	[9-17]"
"[9-18]	","	[9-18]+v1^2v4^1[9-3]"
"[9-19]	","	[9-19]"
"[9-20]	","	[9-20]+v2^5v3^1[9-5]"
"[9-21]	","	[9-21]"
"[9-22]	","	[9-22]+v2^1v4^3[9-0]"
"[9-3]	","	[9-3]+v1^22[9-0]"
"[9-4]	","	[9-4]"
"[9-5]	","	[9-5]+v1^20v2^1[9-0]"
"[9-6]	","	[9-6]+v1^22v2^1[9-0]"
"[9-7]	","	[9-7]"
"[9-8]	","	[9-8]+v1^2v2^1[9-5]+v1^28[9-0]"
"[9-9]	","	[9-9]+v0^2v2^4[9-1]+v1^26v2^1[9-0]"
"v1^1[12-1]	","	v1^1[12-1]"
"v1^1[12-13]	","	v1^1[12-13]+v1^2v3^2[12-3]+v1^18v2^7v3^1[12-0]+v1^22v2^3v4^1[12-0]"
"v1^1[13-1]	","	v1^1[13-1]"
"v1^1[16-1]	","	v1^1[16-1]"
"v1^1[17-1]	","	v1^1[17-1]"
"v1^1[20-1]	","	v1^1[20-1]"
"v1^1[3-5]	","	v1^1[3-5]"
"v1^1[3-9]	","	v2^4[3-3]+v1^20[3-0]"
"v1^1[4-1]	","	v1^1[4-1]"
"v1^1[4-23]	","	v1^1[4-23]+v0^1v2^10v3^1[4-2]+v1^12v2^1[4-12]+v1^30v2^3v3^1[4-0]"
"v1^1[4-25]	","	v2^4[4-18]"
"v1^1[5-1]	","	v1^1[5-1]"
"v1^1[5-12]	","	v1^1[5-12]"
"v1^1[5-13]	","	v3^2[5-7]"
"v1^1[5-18]	","	v1^1[5-18]+v2^2[5-15]+v1^32v3^1[5-0]"
"v1^1[6-12]	","	v1^1[6-12]"
"v1^1[6-14]	","	v3^2[6-8]+v1^1v2^4v3^1[6-6]"
"v1^1[6-18]	","	v1^1[6-18]"
"v1^1[8-1]	","	v1^1[8-1]"
"v1^1[8-15]	","	v1^1[8-15]+v1^2v3^2[8-3]"
"v1^1[9-1]	","	v1^1[9-1]"
"v1^1[9-18]	","	v3^2[9-7]"
"v1^10[1-0]	","	v1^10[1-0]"
"v1^10[10-0]	","	v1^10[10-0]"
"v1^10[11-0]	","	v1^10[11-0]"
"v1^10[12-0]	","	v1^10[12-0]"
"v1^10[13-0]	","	v1^10[13-0]"
"v1^10[14-0]	","	v1^10[14-0]"
"v1^10[15-0]	","	v1^10[15-0]"
"v1^10[16-0]	","	v1^10[16-0]"
"v1^10[17-0]	","	v1^10[17-0]"
"v1^10[18-0]	","	v1^10[18-0]"
"v1^10[19-0]	","	v1^10[19-0]"
"v1^10[2-0]	","	v1^10[2-0]"
"v1^10[2-11]	","	v1^10[2-11]"
"v1^10[20-0]	","	v1^10[20-0]"
"v1^10[21-0]	","	v1^10[21-0]"
"v1^10[22-0]	","	v1^10[22-0]"
"v1^10[23-0]	","	v1^10[23-0]"
"v1^10[24-0]	","	v1^10[24-0]"
"v1^10[25-0]	","	v1^10[25-0]"
"v1^10[26-0]	","	v1^10[26-0]"
"v1^10[27-0]	","	v1^10[27-0]"
"v1^10[3-0]	","	v1^10[3-0]"
"v1^10[3-13]	","	v1^10[3-13]+v1^32v2^3[3-0]"
"v1^10[4-0]	","	v1^10[4-0]"
"v1^10[4-12]	","	v1^10[4-12]"
"v1^10[5-0]	","	v1^10[5-0]"
"v1^10[5-14]	","	v1^10[5-14]"
"v1^10[6-0]	","	v1^10[6-0]"
"v1^10[6-11]	","	v1^10[6-11]"
"v1^10[7-0]	","	v1^10[7-0]"
"v1^10[7-9]	","	v1^10[7-9]"
"v1^10[8-0]	","	v1^10[8-0]"
"v1^10[8-11]	","	v2^9v3^2[8-0]"
"v1^10[9-0]	","	v1^10[9-0]"
"v1^10v2^1[1-0]	","	v1^10v2^1[1-0]"
"v1^10v2^1[10-0]	","	v1^10v2^1[10-0]"
"v1^10v2^1[11-0]	","	v1^10v2^1[11-0]"
"v1^10v2^1[12-0]	","	v1^10v2^1[12-0]"
"v1^10v2^1[13-0]	","	v1^10v2^1[13-0]"
"v1^10v2^1[14-0]	","	v1^10v2^1[14-0]"
"v1^10v2^1[15-0]	","	v1^10v2^1[15-0]"
"v1^10v2^1[16-0]	","	v1^10v2^1[16-0]"
"v1^10v2^1[17-0]	","	v1^10v2^1[17-0]"
"v1^10v2^1[18-0]	","	v1^10v2^1[18-0]"
"v1^10v2^1[19-0]	","	v1^10v2^1[19-0]"
"v1^10v2^1[2-0]	","	v1^10v2^1[2-0]"
"v1^10v2^1[2-11]	","	v1^10v2^1[2-11]"
"v1^10v2^1[20-0]	","	v1^10v2^1[20-0]"
"v1^10v2^1[21-0]	","	v1^10v2^1[21-0]"
"v1^10v2^1[22-0]	","	v1^10v2^1[22-0]"
"v1^10v2^1[23-0]	","	v1^10v2^1[23-0]"
"v1^10v2^1[24-0]	","	v1^10v2^1[24-0]"
"v1^10v2^1[25-0]	","	v1^10v2^1[25-0]"
"v1^10v2^1[26-0]	","	v1^10v2^1[26-0]"
"v1^10v2^1[3-0]	","	v1^10v2^1[3-0]"
"v1^10v2^1[3-13]	","	v1^10v2^1[3-13]"
"v1^10v2^1[4-0]	","	v1^10v2^1[4-0]"
"v1^10v2^1[4-12]	","	v1^10v2^1[4-12]"
"v1^10v2^1[5-0]	","	v1^10v2^1[5-0]"
"v1^10v2^1[5-14]	","	v1^10v2^1[5-14]"
"v1^10v2^1[6-0]	","	v1^10v2^1[6-0]"
"v1^10v2^1[6-11]	","	v1^10v2^1[6-11]+v1^28v2^3v3^1[6-0]"
"v1^10v2^1[7-0]	","	v1^10v2^1[7-0]"
"v1^10v2^1[8-0]	","	v1^10v2^1[8-0]"
"v1^10v2^1[9-0]	","	v1^10v2^1[9-0]"
"v1^12[1-0]	","	v1^12[1-0]"
"v1^12[10-0]	","	v1^12[10-0]"
"v1^12[11-0]	","	v1^12[11-0]"
"v1^12[12-0]	","	v1^12[12-0]"
"v1^12[13-0]	","	v1^12[13-0]"
"v1^12[14-0]	","	v1^12[14-0]"
"v1^12[15-0]	","	v1^12[15-0]"
"v1^12[16-0]	","	v1^12[16-0]"
"v1^12[17-0]	","	v1^12[17-0]"
"v1^12[18-0]	","	v1^12[18-0]"
"v1^12[19-0]	","	v1^12[19-0]"
"v1^12[2-0]	","	v1^12[2-0]"
"v1^12[2-11]	","	v1^12[2-11]"
"v1^12[20-0]	","	v1^12[20-0]"
"v1^12[21-0]	","	v1^12[21-0]"
"v1^12[22-0]	","	v1^12[22-0]"
"v1^12[23-0]	","	v1^12[23-0]"
"v1^12[24-0]	","	v1^12[24-0]"
"v1^12[25-0]	","	v1^12[25-0]"
"v1^12[3-0]	","	v1^12[3-0]"
"v1^12[3-13]	","	v1^12[3-13]"
"v1^12[4-0]	","	v1^12[4-0]"
"v1^12[4-12]	","	v1^12[4-12]"
"v1^12[5-0]	","	v1^12[5-0]"
"v1^12[6-0]	","	v1^12[6-0]"
"v1^12[7-0]	","	v1^12[7-0]"
"v1^12[8-0]	","	v1^12[8-0]"
"v1^12[9-0]	","	v1^12[9-0]"
"v1^12v2^1[1-0]	","	v0^10[1-4]+v0^12[1-4]+v0^13[1-4]"
"v1^12v2^1[10-0]	","	v1^12v2^1[10-0]"
"v1^12v2^1[11-0]	","	v1^12v2^1[11-0]"
"v1^12v2^1[12-0]	","	v1^12v2^1[12-0]"
"v1^12v2^1[13-0]	","	v1^12v2^1[13-0]"
"v1^12v2^1[14-0]	","	v1^12v2^1[14-0]"
"v1^12v2^1[15-0]	","	v1^12v2^1[15-0]"
"v1^12v2^1[16-0]	","	v1^12v2^1[16-0]"
"v1^12v2^1[17-0]	","	v1^12v2^1[17-0]"
"v1^12v2^1[18-0]	","	v1^12v2^1[18-0]"
"v1^12v2^1[19-0]	","	v1^12v2^1[19-0]"
"v1^12v2^1[2-0]	","	v1^12v2^1[2-0]"
"v1^12v2^1[20-0]	","	v1^12v2^1[20-0]"
"v1^12v2^1[21-0]	","	v1^12v2^1[21-0]"
"v1^12v2^1[22-0]	","	v1^12v2^1[22-0]"
"v1^12v2^1[23-0]	","	v1^12v2^1[23-0]"
"v1^12v2^1[24-0]	","	v1^12v2^1[24-0]"
"v1^12v2^1[3-0]	","	v1^12v2^1[3-0]"
"v1^12v2^1[3-13]	","	v1^12v2^1[3-13]"
"v1^12v2^1[4-0]	","	v1^12v2^1[4-0]"
"v1^12v2^1[4-12]	","	v1^12v2^1[4-12]+v1^30v2^3v3^1[4-0]"
"v1^12v2^1[5-0]	","	v1^12v2^1[5-0]"
"v1^12v2^1[6-0]	","	v1^12v2^1[6-0]"
"v1^12v2^1[7-0]	","	v1^12v2^1[7-0]"
"v1^12v2^1[8-0]	","	v1^12v2^1[8-0]"
"v1^12v2^1[9-0]	","	v1^12v2^1[9-0]"
"v1^13[4-12]	","	v1^13[4-12]"
"v1^14[1-0]	","	v1^14[1-0]"
"v1^14[10-0]	","	v1^14[10-0]"
"v1^14[11-0]	","	v1^14[11-0]"
"v1^14[12-0]	","	v1^14[12-0]"
"v1^14[13-0]	","	v1^14[13-0]"
"v1^14[14-0]	","	v1^14[14-0]"
"v1^14[15-0]	","	v1^14[15-0]"
"v1^14[16-0]	","	v1^14[16-0]"
"v1^14[17-0]	","	v1^14[17-0]"
"v1^14[18-0]	","	v1^14[18-0]"
"v1^14[19-0]	","	v1^14[19-0]"
"v1^14[2-0]	","	v1^14[2-0]"
"v1^14[2-11]	","	v1^14[2-11]"
"v1^14[20-0]	","	v1^14[20-0]"
"v1^14[21-0]	","	v1^14[21-0]"
"v1^14[22-0]	","	v1^14[22-0]"
"v1^14[23-0]	","	v1^14[23-0]"
"v1^14[3-0]	","	v1^14[3-0]"
"v1^14[3-13]	","	v1^14[3-13]"
"v1^14[4-0]	","	v1^14[4-0]"
"v1^14[4-12]	","	v2^15[4-0]"
"v1^14[5-0]	","	v1^14[5-0]"
"v1^14[6-0]	","	v1^14[6-0]"
"v1^14[7-0]	","	v1^14[7-0]"
