ANSS-cofiber-2-machine,algNovikov-machine
"v1^14[8-0]	","	v1^14[8-0]"
"v1^14[9-0]	","	v1^14[9-0]"
"v1^14v2^1[1-0]	","	v1^14v2^1[1-0]"
"v1^14v2^1[10-0]	","	v1^14v2^1[10-0]"
"v1^14v2^1[11-0]	","	v1^14v2^1[11-0]"
"v1^14v2^1[12-0]	","	v1^14v2^1[12-0]"
"v1^14v2^1[13-0]	","	v1^14v2^1[13-0]"
"v1^14v2^1[14-0]	","	v1^14v2^1[14-0]"
"v1^14v2^1[15-0]	","	v1^14v2^1[15-0]"
"v1^14v2^1[16-0]	","	v1^14v2^1[16-0]"
"v1^14v2^1[17-0]	","	v1^14v2^1[17-0]"
"v1^14v2^1[18-0]	","	v1^14v2^1[18-0]"
"v1^14v2^1[19-0]	","	v1^14v2^1[19-0]"
"v1^14v2^1[2-0]	","	v1^14v2^1[2-0]"
"v1^14v2^1[2-11]	","	v1^14v2^1[2-11]"
"v1^14v2^1[20-0]	","	v1^14v2^1[20-0]"
"v1^14v2^1[21-0]	","	v1^14v2^1[21-0]"
"v1^14v2^1[22-0]	","	v1^14v2^1[22-0]"
"v1^14v2^1[3-0]	","	v1^14v2^1[3-0]"
"v1^14v2^1[4-0]	","	v1^14v2^1[4-0]"
"v1^14v2^1[5-0]	","	v1^14v2^1[5-0]"
"v1^14v2^1[6-0]	","	v1^14v2^1[6-0]"
"v1^14v2^1[7-0]	","	v1^14v2^1[7-0]"
"v1^14v2^1[8-0]	","	v1^14v2^1[8-0]"
"v1^14v2^1[9-0]	","	v1^14v2^1[9-0]"
"v1^16[1-0]	","	v1^16[1-0]"
"v1^16[10-0]	","	v1^16[10-0]"
"v1^16[11-0]	","	v1^16[11-0]"
"v1^16[12-0]	","	v1^16[12-0]"
"v1^16[13-0]	","	v1^16[13-0]"
"v1^16[14-0]	","	v1^16[14-0]"
"v1^16[15-0]	","	v1^16[15-0]"
"v1^16[16-0]	","	v1^16[16-0]"
"v1^16[17-0]	","	v1^16[17-0]"
"v1^16[18-0]	","	v1^16[18-0]"
"v1^16[19-0]	","	v1^16[19-0]"
"v1^16[2-0]	","	v1^16[2-0]"
"v1^16[20-0]	","	v1^16[20-0]"
"v1^16[21-0]	","	v1^16[21-0]"
"v1^16[3-0]	","	v1^16[3-0]"
"v1^16[4-0]	","	v1^16[4-0]"
"v1^16[5-0]	","	v1^16[5-0]"
"v1^16[6-0]	","	v1^16[6-0]"
"v1^16[7-0]	","	v1^16[7-0]"
"v1^16[8-0]	","	v1^16[8-0]"
"v1^16[9-0]	","	v1^16[9-0]"
"v1^16v2^1[1-0]	","	v0^3v1^10v2^3[1-0]+v0^5v1^10v2^3[1-0]+v0^6v1^10v2^3[1-0]"
"v1^16v2^1[10-0]	","	v1^16v2^1[10-0]"
"v1^16v2^1[11-0]	","	v1^16v2^1[11-0]"
"v1^16v2^1[12-0]	","	v1^16v2^1[12-0]"
"v1^16v2^1[13-0]	","	v1^16v2^1[13-0]"
"v1^16v2^1[14-0]	","	v1^16v2^1[14-0]"
"v1^16v2^1[15-0]	","	v1^16v2^1[15-0]"
"v1^16v2^1[16-0]	","	v1^16v2^1[16-0]"
"v1^16v2^1[17-0]	","	v1^16v2^1[17-0]"
"v1^16v2^1[18-0]	","	v1^16v2^1[18-0]"
"v1^16v2^1[19-0]	","	v1^16v2^1[19-0]"
"v1^16v2^1[2-0]	","	v1^16v2^1[2-0]"
"v1^16v2^1[20-0]	","	v1^16v2^1[20-0]"
"v1^16v2^1[3-0]	","	v1^16v2^1[3-0]"
"v1^16v2^1[4-0]	","	v1^16v2^1[4-0]"
"v1^16v2^1[5-0]	","	v1^16v2^1[5-0]"
"v1^16v2^1[6-0]	","	v1^16v2^1[6-0]"
"v1^16v2^1[7-0]	","	v1^16v2^1[7-0]"
"v1^16v2^1[8-0]	","	v1^16v2^1[8-0]"
"v1^16v2^1[9-0]	","	v1^16v2^1[9-0]"
"v1^18[1-0]	","	v1^18[1-0]"
"v1^18[10-0]	","	v1^18[10-0]"
"v1^18[11-0]	","	v1^18[11-0]"
"v1^18[12-0]	","	v1^18[12-0]"
"v1^18[13-0]	","	v1^18[13-0]"
"v1^18[14-0]	","	v1^18[14-0]"
"v1^18[15-0]	","	v1^18[15-0]"
"v1^18[16-0]	","	v1^18[16-0]"
"v1^18[17-0]	","	v1^18[17-0]"
"v1^18[18-0]	","	v1^18[18-0]"
"v1^18[19-0]	","	v1^18[19-0]"
"v1^18[2-0]	","	v1^18[2-0]"
"v1^18[3-0]	","	v1^18[3-0]"
"v1^18[4-0]	","	v1^18[4-0]"
"v1^18[5-0]	","	v1^18[5-0]"
"v1^18[6-0]	","	v1^18[6-0]"
"v1^18[7-0]	","	v1^18[7-0]"
"v1^18[8-0]	","	v1^18[8-0]"
"v1^18[9-0]	","	v1^18[9-0]"
"v1^18v2^1[1-0]	","	v1^18v2^1[1-0]"
"v1^18v2^1[10-0]	","	v1^18v2^1[10-0]"
"v1^18v2^1[11-0]	","	v1^18v2^1[11-0]"
"v1^18v2^1[12-0]	","	v1^18v2^1[12-0]"
"v1^18v2^1[13-0]	","	v1^18v2^1[13-0]"
"v1^18v2^1[14-0]	","	v1^18v2^1[14-0]"
"v1^18v2^1[15-0]	","	v1^18v2^1[15-0]"
"v1^18v2^1[16-0]	","	v1^18v2^1[16-0]"
"v1^18v2^1[17-0]	","	v1^18v2^1[17-0]"
"v1^18v2^1[18-0]	","	v1^18v2^1[18-0]"
"v1^18v2^1[2-0]	","	v1^18v2^1[2-0]"
"v1^18v2^1[3-0]	","	v1^18v2^1[3-0]"
"v1^18v2^1[4-0]	","	v1^18v2^1[4-0]"
"v1^18v2^1[5-0]	","	v1^18v2^1[5-0]"
"v1^18v2^1[6-0]	","	v1^18v2^1[6-0]"
"v1^18v2^1[7-0]	","	v1^18v2^1[7-0]"
"v1^18v2^1[8-0]	","	v1^18v2^1[8-0]"
"v1^18v2^1[9-0]	","	v1^18v2^1[9-0]"
"v1^1v2^1[11-1]	","	v1^1v2^1[11-1]"
"v1^1v2^1[11-8]	","	v1^1v2^1[11-8]"
"v1^1v2^1[11-9]	","	v1^1v2^1[11-9]"
"v1^1v2^1[12-13]	","	v1^1v2^1[12-13]+v1^8v2^1v3^1[12-4]"
"v1^1v2^1[15-1]	","	v0^1v5^1[15-0]"
"v1^1v2^1[15-6]	","	v1^1v2^1[15-6]"
"v1^1v2^1[19-1]	","	v1^1v2^1[19-1]"
"v1^1v2^1[7-1]	","	v0^1v4^1[7-0]"
"v1^1v2^1[7-10]	","	v1^1v2^1[7-10]"
"v1^1v2^1[7-6]	","	v1^1v2^1[7-6]+v1^4v2^1[7-5]"
"v1^1v2^1[7-7]	","	v1^1v2^1[7-7]+v1^30v2^1[7-0]"
"v1^1v2^1[8-19]	","	v0^1v4^1[8-11]+v1^26v2^2v3^2[8-0]"
"v1^1v2^1[8-20]	","	v0^1v4^1[8-14]+v2^6v4^1[8-2]+v1^3v2^5v4^1[8-2]+v1^22v2^7v3^1[8-0]"
"v1^1v2^1[9-21]	","	v1^1v2^1[9-21]"
"v1^1v2^10[3-0]	","	v0^1v1^6v3^1v4^1[3-1]"
"v1^1v2^10v3^1[5-7]	","	v1^2v2^5v3^3[5-7]+v1^6v2^8v4^1[5-2]"
"v1^1v2^10v3^1[6-2]	","	v1^2v2^5v3^3[6-2]"
"v1^1v2^10v3^1[7-3]	","	v1^3v3^5[7-3]"
"v1^1v2^10v3^2[4-2]	","	v2^10v4^1[4-2]+v1^3v2^9v4^1[4-2]+v1^26v2^7v3^1[4-0]"
"v1^1v2^11[4-5]	","	v1^1v2^11[4-5]"
"v1^1v2^12v3^1[3-3]	","	v1^1v2^12v3^1[3-3]"
"v1^1v2^12v3^1[6-2]	","	v1^3v3^5[6-6]"
"v1^1v2^13[4-3]	","	v1^3v2^9v4^1[4-2]+v1^24v2^10[4-0]"
"v1^1v2^13[4-5]	","	v1^3v2^3v3^4[4-5]+v1^14v2^4[4-12]"
"v1^1v2^13[7-1]	","	v1^13v3^1[7-9]"
"v1^1v2^13v3^2[2-1]	","	v1^4v2^9v3^1v4^1[2-2]"
"v1^1v2^14[3-0]	","	v0^1v2^12v3^1[3-0]"
"v1^1v2^14v3^1[2-2]	","	v1^2v2^9v3^3[2-2]"
"v1^1v2^14v3^1[3-3]	","	v1^3v2^4v3^5[3-3]"
"v1^1v2^16v3^1[2-2]	","	v1^4v2^1v3^7[2-2]"
"v1^1v2^18[3-0]	","	v0^1v1^12v2^4[3-13]"
"v1^1v2^1v3^1[6-15]	","	v3^4[6-7]+v1^4v2^2v3^1[6-11]+v0^1v2^5v3^1v4^1[6-2]+v2^8v3^2[6-1]+v1^26v2^5v3^1[6-0]"
"v1^1v2^1v3^2[14-1]	","	v1^2v4^1[14-2]+v1^20v2^3v4^1[14-0]"
"v1^1v2^1v3^2[6-1]	","	v1^2v4^1[6-2]+v1^28[6-0]"
"v1^1v2^1v3^2[7-6]	","	v1^1v2^1v3^2[7-6]"
"v1^1v2^1v3^2[7-7]	","	v1^1v2^1v3^2[7-7]"
"v1^1v2^1v3^2[8-10]	","	v2^4[8-15]+v2^6v3^2[8-2]"
"v1^1v2^1v3^2[8-7]	","	v2^4[8-13]+v2^8[8-3]"
"v1^1v2^1v3^3[10-4]	","	v2^1v4^3[10-0]+v1^22v2^4v3^2[10-0]"
"v1^1v2^2[3-0]	","	v0^1v3^1[3-0]"
"v1^1v2^2[4-12]	","	v0^1v3^1[4-12]"
"v1^1v2^2[4-16]	","	v1^2v2^2v3^4[4-2]+v2^8v3^3[4-0]+v2^15[4-0]"
"v1^1v2^2[4-4]	","	v0^1v3^1[4-4]"
"v1^1v2^2[7-20]	","	v1^4v2^1v3^5[7-1]"
"v1^1v2^2v3^1[13-4]	","	v1^1v2^2v3^1[13-4]"
"v1^1v2^2v3^1[4-9]	","	v0^1v2^1v4^1[4-6]"
"v1^1v2^2v3^1[5-4]	","	v1^1v2^2v3^1[5-4]+v1^26v2^1[5-0]"
"v1^1v2^2v3^1[6-18]	","	v1^1v2^2v3^1[6-18]+v1^6v2^5v3^1v4^1[6-2]"
"v1^1v2^2v3^1[9-4]	","	v1^1v2^2v3^1[9-5]"
"v1^1v2^2v3^2[5-4]	","	v1^4v3^2[5-7]+v1^4v2^1v3^2[5-4]"
"v1^1v2^2v3^3[5-4]	","	v1^1v2^2v3^3[5-4]+v1^2v2^4v4^1[5-3]+v1^28v2^5[5-0]"
"v1^1v2^2v3^3[9-4]	","	v1^1v2^2v3^3[9-5]"
"v1^1v2^2v3^6[3-3]	","	v1^4v2^5v3^5[3-1]"
"v1^1v2^3[12-2]	","	v1^2[12-5]"
"v1^1v2^3[16-2]	","	v1^2[16-5]"
"v1^1v2^3[4-10]	","	v1^1v2^3[4-10]+v1^2v2^3v3^1[4-4]+v1^8v2^1v3^1[4-4]+v1^30v2^1[4-0]"
"v1^1v2^3[4-13]	","	v1^2v3^1[4-14]+v0^1v1^2v3^1[4-14]"
"v1^1v2^3[4-2]	","	v1^2[4-5]"
"v1^1v2^3[5-20]	","	v1^2[5-27]"
"v1^1v2^3[8-2]	","	v1^2[8-5]+v1^24v2^1[8-0]"
"v1^1v2^4[13-3]	","	v1^2v2^1v3^1[13-4]+v1^22v2^2v4^1[13-0]"
"v1^1v2^4[5-3]	","	v1^2v2^1v3^1[5-4]"
"v1^1v2^4[8-10]	","	v1^1v2^4[8-10]"
"v1^1v2^4v3^1[11-3]	","	v1^1v2^4v3^1[11-3]"
"v1^1v2^4v3^1[3-3]	","	v1^1v2^4v3^1[3-3]"
"v1^1v2^4v3^1[5-4]	","	v1^2v4^1[5-7]+v0^2v1^1v2^2v3^1[5-9]"
"v1^1v2^4v3^1[5-7]	","	v2^8[5-3]"
"v1^1v2^4v3^1[7-3]	","	v1^1v2^4v3^1[7-3]"
"v1^1v2^4v3^1[9-7]	","	v2^8[9-3]"
"v1^1v2^4v3^1v4^1[4-2]	","	v2^8[4-8]+v1^13[4-12]+v0^1v1^13[4-12]"
"v1^1v2^4v3^2[4-8]	","	v1^2v3^4[4-5]"
"v1^1v2^5[11-1]	","	v0^1v2^2v3^2v4^1[11-0]"
"v1^1v2^5[11-7]	","	v1^1v2^5[11-7]"
"v1^1v2^5[12-3]	","	v1^2v3^2[12-3]+v1^18v2^7v3^1[12-0]+v1^22v2^3v4^1[12-0]"
"v1^1v2^5[15-1]	","	v1^5v3^1[15-2]"
"v1^1v2^5[4-3]	","	v1^2v3^2[4-3]+v1^30[4-0]"
"v1^1v2^5[4-6]	","	v0^1v1^2v2^1v3^1v4^1[4-1]+v1^34[4-0]"
"v1^1v2^5[7-1]	","	v1^5v3^1[7-2]"
"v1^1v2^5[7-6]	","	v1^1v2^5[7-6]"
"v1^1v2^5v3^1[10-6]	","	v1^2v2^1v3^3[10-3]+v1^4v2^1v3^1v4^1[10-2]+v1^20v2^7v3^1[10-0]+v1^22v2^4v3^2[10-0]"
"v1^1v2^5v3^1[6-6]	","	v1^2v2^1v3^3[6-3]+v1^30v2^1v3^1[6-0]"
"v1^1v2^5v3^2[10-1]	","	v1^4v2^1v3^1v4^1[10-2]"
"v1^1v2^5v3^2[2-1]	","	v1^4v2^1v3^1v4^1[2-2]+v0^2v1^4v2^1v3^1v4^1[2-2]+v1^32[2-0]"
"v1^1v2^5v4^1[5-4]	","	v1^1v2^2v3^3[5-7]"
"v1^1v2^6[3-0]	","	v0^1v2^4v3^1[3-0]"
"v1^1v2^6[4-12]	","	v0^1v2^4v3^1[4-12]"
"v1^1v2^6[8-4]	","	v2^6v3^1[8-2]+v0^1v2^6v3^1[8-2]+v1^26v2^3v3^1[8-0]"
"v1^1v2^6v3^1[10-2]	","	v1^2v2^1v3^3[10-2]"
"v1^1v2^6v3^1[11-3]	","	v1^2v3^2[11-7]"
"v1^1v2^6v3^1[2-2]	","	v1^2v2^1v3^3[2-2]"
"v1^1v2^6v3^1[9-7]	","	v1^2v2^1v3^3[9-7]+v1^6v2^3v3^2[9-5]"
"v1^1v2^6v3^2[4-2]	","	v2^6v4^1[4-2]+v1^2v2^4v3^2[4-3]+v1^30v2^4[4-0]"
"v1^1v2^6v3^2[8-2]	","	v2^6v4^1[8-2]+v1^3v2^5v4^1[8-2]+v1^22v2^7v3^1[8-0]+v1^24v2^4v3^2[8-0]"
"v1^1v2^7[8-5]	","	v1^1v2^7[8-5]"
"v1^1v2^8v3^1[10-2]	","	v1^2v4^2[10-2]"
"v1^1v2^8v3^1[3-3]	","	v1^1v2^8v3^1[3-3]"
"v1^1v2^8v3^1[5-7]	","	v2^12[5-3]"
"v1^1v2^8v3^1[7-3]	","	v1^1v2^8v3^1[7-3]"
"v1^1v2^9[11-1]	","	v1^9v3^1[11-6]"
"v1^1v2^9[7-1]	","	v0^1v2^8v4^1[7-0]"
"v1^1v2^9[8-3]	","	v1^3v2^5v4^1[8-2]+v1^22v2^7v3^1[8-0]+v1^24v2^4v3^2[8-0]"
"v1^1v2^9[8-5]	","	v1^2v2^2v3^2[8-10]+v1^12v2^1v3^1[8-11]"
"v1^1v2^9v3^1[6-6]	","	v1^2v2^5v3^3[6-3]+v1^4v2^5v3^1v4^1[6-2]+v1^22v2^10[6-0]+v1^24v2^7v3^1[6-0]"
"v1^1v2^9v3^2[6-1]	","	v1^4v2^5v3^1v4^1[6-2]+v1^22v2^10[6-0]+v1^24v2^7v3^1[6-0]"
"v1^1v3^1[10-11]	","	v1^1v3^1[10-11]"
"v1^1v3^1[10-7]	","	v1^1v3^1[10-7]"
"v1^1v3^1[10-9]	","	v1^1v3^1[10-9]"
"v1^1v3^1[11-3]	","	v1^1v3^1[11-3]"
"v1^1v3^1[13-11]	","	v1^1v3^1[13-11]"
"v1^1v3^1[14-6]	","	v1^1v3^1[14-6]"
"v1^1v3^1[14-7]	","	v1^1v3^1[14-7]+v1^2v4^1[14-2]+v1^16v2^7v3^1[14-0]+v1^20v2^3v4^1[14-0]+v1^22v3^1v4^1[14-0]"
"v1^1v3^1[14-8]	","	v1^1v3^1[14-8]"
"v1^1v3^1[15-3]	","	v1^1v3^1[15-3]"
"v1^1v3^1[3-3]	","	v1^1v3^1[3-3]"
"v1^1v3^1[4-18]	","	v1^1v3^1[4-18]"
"v1^1v3^1[6-6]	","	v1^1v3^1[6-6]"
"v1^1v3^1[6-7]	","	v1^1v3^1[6-7]"
"v1^1v3^1[6-8]	","	v1^1v3^1[6-8]"
"v1^1v3^1[6-9]	","	v1^1v3^1[6-9]"
"v1^1v3^1[7-3]	","	v1^1v3^1[7-3]"
"v1^1v3^1v4^1[12-2]	","	v2^4[12-7]+v1^6v2^3[12-5]"
"v1^1v3^1v4^1[4-2]	","	v0^1v3^2[4-6]+v0^4v2^4[4-8]+v0^5v2^4[4-8]"
"v1^1v3^1v4^1[8-2]	","	v2^4[8-7]+v1^9[8-11]+v0^1v1^9[8-11]"
"v1^1v3^2[11-2]	","	v1^1v2^1[11-7]"
"v1^1v3^2[13-4]	","	v1^4v4^1[13-2]"
"v1^1v3^2[3-9]	","	v2^3v3^1[3-8]"
"v1^1v3^2[5-4]	","	v1^4v4^1[5-2]+v1^30[5-0]"
"v1^1v3^2[8-15]	","	v0^1v4^2[8-3]+v1^2v3^4[8-3]"
"v1^1v3^2[9-4]	","	v1^2v2^1v3^1[9-7]"
"v1^1v3^3[10-4]	","	v1^1v2^1[10-14]+v1^2v2^1v3^3[10-2]"
"v1^1v3^3v4^1[7-4]	","	v1^3v3^5[7-3]+v1^4v2^4v3^1[7-9]"
"v1^1v3^5[5-1]	","	v1^2v3^2v4^1[5-3]+v2^8v3^3[5-0]+v2^15[5-0]"
"v1^2[1-0]	","	v1^2[1-0]"
"v1^2[10-0]	","	v1^2[10-0]"
"v1^2[10-10]	","	v1^2[10-10]"
"v1^2[10-4]	","	v1^2[10-4]"
"v1^2[11-0]	","	v1^2[11-0]"
"v1^2[11-2]	","	v1^2[11-2]+v1^22v2^1[11-0]"
"v1^2[11-6]	","	v1^2[11-6]+v1^26v3^1[11-0]"
"v1^2[11-7]	","	v2^4[11-3]"
"v1^2[12-0]	","	v1^2[12-0]"
"v1^2[12-1]	","	v1^2[12-1]"
"v1^2[12-3]	","	v1^2[12-3]"
"v1^2[12-4]	","	v1^2[12-4]"
"v1^2[12-9]	","	v1^2[12-9]"
"v1^2[13-0]	","	v1^2[13-0]"
"v1^2[13-5]	","	v1^2[13-5]"
"v1^2[14-0]	","	v1^2[14-0]"
"v1^2[14-4]	","	v1^2[14-4]"
"v1^2[15-0]	","	v1^2[15-0]"
"v1^2[15-2]	","	v1^2[15-2]"
"v1^2[15-5]	","	v1^2[15-5]+v1^16v2^6v3^1[15-0]+v1^20v2^2v4^1[15-0]"
"v1^2[15-6]	","	v1^2v4^1[15-1]+v2^4[15-3]"
"v1^2[16-0]	","	v1^2[16-0]"
"v1^2[16-1]	","	v2^1v4^2[16-0]"
"v1^2[16-3]	","	v1^2[16-3]"
"v1^2[16-4]	","	v1^2[16-4]"
"v1^2[17-0]	","	v1^2[17-0]"
"v1^2[17-5]	","	v1^2[17-5]"
"v1^2[18-0]	","	v1^2[18-0]"
"v1^2[18-4]	","	v1^2[18-4]"
"v1^2[19-0]	","	v1^2[19-0]"
"v1^2[19-2]	","	v1^2[19-2]+v1^10v2^8v3^1[19-0]+v1^16v2^1v3^1v4^1[19-0]"
"v1^2[2-0]	","	v1^2[2-0]"
"v1^2[2-10]	","	v0^1[2-12]"
"v1^2[2-11]	","	v1^2[2-11]"
"v1^2[2-4]	","	v1^2[2-4]+v1^6v2^1[2-0]"
"v1^2[2-7]	","	v1^2[2-7]+v1^14v2^1[2-0]"
"v1^2[20-0]	","	v1^2[20-0]"
"v1^2[20-1]	","	v1^2[20-1]"
"v1^2[21-0]	","	v1^2[21-0]"
"v1^2[22-0]	","	v1^2[22-0]"
"v1^2[23-0]	","	v1^2[23-0]"
"v1^2[24-0]	","	v1^2[24-0]"
"v1^2[25-0]	","	v1^2[25-0]"
"v1^2[26-0]	","	v1^2[26-0]"
"v1^2[27-0]	","	v1^2[27-0]"
"v1^2[28-0]	","	v1^2[28-0]"
"v1^2[29-0]	","	v1^2[29-0]"
"v1^2[3-0]	","	v1^2[3-0]"
"v1^2[3-11]	","	v1^2[3-11]"
"v1^2[3-13]	","	v1^2[3-13]"
"v1^2[3-17]	","	v1^2[3-17]+v1^6v2^1[3-13]"
"v1^2[3-2]	","	v1^2[3-2]"
"v1^2[3-6]	","	v1^2[3-6]"
"v1^2[30-0]	","	v1^2[30-0]"
"v1^2[31-0]	","	v1^2[31-0]"
"v1^2[32-0]	","	v1^2[32-0]"
"v1^2[33-0]	","	v1^2[33-0]"
"v1^2[34-0]	","	v1^2[34-0]"
"v1^2[35-0]	","	v1^2[35-0]"
"v1^2[4-0]	","	v1^2[4-0]"
"v1^2[4-1]	","	v2^3[4-0]"
"v1^2[4-11]	","	v1^2[4-11]"
"v1^2[4-12]	","	v1^2[4-12]"
"v1^2[4-17]	","	v1^2[4-17]"
"v1^2[4-19]	","	v1^2v2^4v3^2[4-3]"
"v1^2[4-3]	","	v1^2[4-3]"
"v1^2[4-4]	","	v1^2[4-4]+v1^14v2^1[4-0]"
"v1^2[5-0]	","	v1^2[5-0]"
"v1^2[5-14]	","	v1^2[5-14]"
"v1^2[5-17]	","	v2^2[5-15]"
"v1^2[5-18]	","	v2^3[5-14]"
"v1^2[5-21]	","	v1^2v2^5v3^1[5-7]"
"v1^2[5-24]	","	v1^2[5-24]+v1^30v2^1v3^2[5-0]"
"v1^2[5-5]	","	v1^2[5-5]"
"v1^2[6-0]	","	v1^2[6-0]"
"v1^2[6-10]	","	v1^2[6-10]+v1^6v4^1[6-2]+v1^32[6-0]"
"v1^2[6-11]	","	v1^2[6-11]+v1^30v2^1[6-0]"
"v1^2[6-12]	","	v3^2[6-7]+v1^1v3^1[6-9]+v1^4[6-10]"
"v1^2[6-15]	","	v1^2[6-15]"
"v1^2[6-4]	","	v1^2[6-4]"
"v1^2[7-0]	","	v1^2[7-0]"
"v1^2[7-14]	","	v1^2[7-14]"
"v1^2[7-2]	","	v1^2[7-2]"
"v1^2[7-22]	","	v2^2v3^4[7-3]+v1^2v2^5v3^1v4^1[7-1]"
"v1^2[7-5]	","	v1^2[7-5]"
"v1^2[7-6]	","	v1^2v4^1[7-1]+v2^4[7-3]+v1^28[7-0]"
"v1^2[7-8]	","	v1^2[7-8]"
"v1^2[7-9]	","	v1^2[7-9]+v1^30v2^1[7-0]"
"v1^2[8-0]	","	v1^2[8-0]"
"v1^2[8-1]	","	v2^1v3^2[8-0]+v1^14v2^1[8-0]"
"v1^2[8-10]	","	v1^2[8-10]"
"v1^2[8-11]	","	v1^2[8-11]"
"v1^2[8-3]	","	v1^2[8-3]+v1^24[8-0]"
"v1^2[8-4]	","	v1^2[8-4]"
"v1^2[8-9]	","	v1^2[8-9]"
"v1^2[9-0]	","	v1^2[9-0]"
"v1^2[9-10]	","	v1^2[9-10]"
"v1^2[9-12]	","	v1^2[9-12]"
"v1^2[9-5]	","	v1^2[9-5]"
"v1^20[1-0]	","	v1^20[1-0]"
"v1^20[10-0]	","	v1^20[10-0]"
"v1^20[11-0]	","	v1^20[11-0]"
"v1^20[12-0]	","	v1^20[12-0]"
"v1^20[13-0]	","	v1^20[13-0]"
"v1^20[14-0]	","	v1^20[14-0]"
"v1^20[15-0]	","	v1^20[15-0]"
"v1^20[16-0]	","	v1^20[16-0]"
"v1^20[17-0]	","	v1^20[17-0]"
"v1^20[2-0]	","	v1^20[2-0]"
"v1^20[3-0]	","	v1^20[3-0]"
"v1^20[4-0]	","	v1^20[4-0]"
"v1^20[5-0]	","	v1^20[5-0]"
"v1^20[6-0]	","	v1^20[6-0]"
"v1^20[7-0]	","	v1^20[7-0]"
"v1^20[8-0]	","	v1^20[8-0]"
"v1^20[9-0]	","	v1^20[9-0]"
"v1^20v2^1[1-0]	","	v0^10v1^2v2^7[1-0]+v0^11v1^2v2^7[1-0]+v0^12v1^2v2^7[1-0]+v0^13v1^2v2^7[1-0]"
"v1^20v2^1[10-0]	","	v1^20v2^1[10-0]"
"v1^20v2^1[11-0]	","	v1^20v2^1[11-0]"
"v1^20v2^1[12-0]	","	v1^20v2^1[12-0]"
"v1^20v2^1[13-0]	","	v1^20v2^1[13-0]"
"v1^20v2^1[14-0]	","	v1^20v2^1[14-0]"
