source,stem,Adams filtration,weight,info,target,sourcex,sourcey,targetx,targety
c0 d0,22,7,13,,P d0,0,0,0,0
h1 c0 d0,23,8,14,,P h1 d0,0,0,0,0
h1 h3 g,28,6,17,,d0^2,0,0,0,0
h1^2 h3 g,29,7,18,,h1 d0^2,0,0,0,0
h0 g^2,40,9,23,,h1 u,0,0,0,0
t h1 g^2,41,9,23,,z,0,0,0,0
c0 e0^2,42,11,25,,d0^3,0,0,0,0
h1 c0 e0^2,43,12,26,,h1 d0^3,0,0,0,0
h1^2 g2,46,6,26,,N,-0.5,0.5,-0.5,-0.5
h1 u',47,12,26,,P u,0,0,0,0
h1 h3 g^2,48,10,29,,d0 e0^2,0,0,0,0
h1^2 h3 g^2,49,11,30,,h1 d0 e0^2,0,0,0,0
h1 G3,52,10,29,,t^2 e0 m,0,0,0,0
B8,53,9,29,,x',0,0,0,0
h1^2 G3,53,11,30,,d0 u,0,0,0,0
h1 i1,54,8,31,,h1 B8,-0.5,0.5,-0.5,-0.5
h1 B8,54,10,30,,h1 x',0,0,0,0
h1^6 h5 e0,54,11,32,,t e0^2 g,0,0,0,0
h1^7 h5 e0,55,12,33,,t h1 e0^2 g,0,0,0,0
t h1 e0^2 g,55,13,31,,d0 z,0,0,0,0
j1,59,7,33,,B21,-0.5,0.5,-0.5,-0.5
P h1^3 h5 e0,59,12,33,,t d0 w,0,0,0,0
h1^3 D4,60,9,34,,h1 B21,-0.5,0.5,-0.5,-0.5
h0 g^3,60,13,34,,d0 u' + t d0^2 l,-0.5,0.5,-0.5,-0.5
t h1 g^3 + h1^5 h5 c0 e0,61,13,35,,d0 e0 r,0,0,0,0
t h1^8 G,62,14,37,,d0^2 e0^2,0,0,0,0
t h1^9 G,63,15,38,,h1 d0^2 e0^2,0,0,0,0
h1^2 X2,65,9,36,,t B23,0,0,0,0
h1^3 X2,66,10,37,,t h1 B23,0,0,0,0
h1^5 X1,66,14,37,,t^2 d0 e0 m,0,0,0,0
h1^6 X1,67,15,38,,d0^2 u,0,0,0,0
h1 h3 g^3,68,14,41,,e0^4,0,0,0,0
h1^2 h3 g^3,69,15,42,,h1 e0^4,0,0,0,0
d1 e1,70,8,39,,h1^2 G21,-0.5,0.5,0,-0.5
h1^2 G21 + t h2 C'',70,10,38,,h2 C11,0,0,0,0
h1^2 h3 H1,71,8,39,,D h2 g2,0,0,0,0
"h1 x71,6",72,7,39,,h0 d0 D2,-0.5,0.5,-0.5,-0.5
D h1 h3 g^2,72,14,41,,t^2 e0 g m,0,0,0,0
h1^2 h6 c0,73,6,39,,h0 h4 D2,0.3,0.5,0.3,-0.5
h2^2 C'',73,11,40,,D^2 h1^2 h4 c0,0,0,0,0
h1^4 D3',73,12,41,,M d0^2,0,0,0,0
D h1^2 h3 g^2,73,15,42,,D h1 d0 e0^2,0,0,0,0
h1^5 D3',74,13,42,,M h1 d0^2,0.5,0.5,0.5,-0.5
h1 e0^2 g^2,75,17,43,,d0 j m,0,0,0,0
D^2 h1^2 h3 g,77,15,42,,t^5 e0 g^3,0,0,0,0
h1 m1,78,8,43,,M D h1^2 h3,0.5,0.5,0.5,-0.5
g j1,79,11,45,,M e0^2,-0.5,0.5,-0.5,-0.5
h1 g j1,80,12,46,,M h1 e0^2,-0.5,0.5,-0.5,-0.5
h0 g^4,80,17,47,,D h1^2 e0^2 g,0,0,0,0
D h1^2 e0^2 g,80,18,46,,D c0 d0 e0^2,0,0,0,0
t h1 g^4,81,17,47,,e0^3 r,0,0,0,0
(D e1 + C0) g,82,12,44,?,D^2 h2 n,0,0,0,0
c0 e0^2 g^2,82,19,49,,d0 e0^4,0,0,0,0
h1 c0 e0^2 g^2,83,20,50,,h1 d0 e0^4,0,0,0,0
D h1 j1,84,12,46,?,M D h1 d0,-0.5,0.5,-0.5,-0.5
h6 c0 d0,85,8,45,,P h6 d0,0,0,0,0
M h0 g^2,85,15,47,?,M D h1^2 d0,0.2,0.4,0.2,-0.4
h1 h6 c0 d0,86,9,46,,P h1 h6 d0,0,0,0,0
t h2 g C',86,12,47,,t^2 B5 g,0,0,0,0
M h1 g^2,86,15,47,,B4 j,0,0,0,0
D h1 c0 e0^2 g,87,20,50,,D h1 d0^2 e0^2,0,0,0,0
h1 h3 g^4,88,18,53,,e0^4 g + M h1^6 e0 g,0,0,0,0
h0 h2 g G0,89,13,49,,t^2 h2 B5 g,0,0,0,0
h1^2 h3 g^4,89,19,54,,h1 e0^4 g + M h1^7 e0 g,0,0,0,0
t h2 g C'',90,14,50,,D^2 h2 c1 g,-0.3,0.5,-0.3,-0.5